STATION,DATE,AWND,EVAP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDMV,WESD,WSFM,WT01,WT03,WT07,WT14,WT16,WT17
USW00094728,1/1/2009,5,,43,30,56,0,0,,-3.3,-9.4,,,,,,,,,,,
USW00094728,1/2/2009,2.8,,62,38,79,0,0,,1.1,-5,,,,,,,,,,1,
USW00094728,1/3/2009,4.5,,47,37,72,0,0,,3.3,-1.7,,,,,,,,,,,
USW00094728,1/4/2009,3.4,,40,29,55,0,0,,5.6,-3.9,,,,,,,,,,,
USW00094728,1/5/2009,3.1,,50,23,65,0,0,,6.1,3.3,,,,,,,,,,1,
USW00094728,1/6/2009,3,,44,22,89,0,0,,3.3,-0.6,,,,,,1,,,,1,1
USW00094728,1/7/2009,4.7,,91,82,93,0,0,,3.3,-0.6,,,,,,1,,,,1,1
USW00094728,1/8/2009,5.1,,56,44,67,0,0,,3.3,-1.7,,,,,,,,,,,
USW00094728,1/9/2009,4.3,,50,43,56,0,0,,0,-3.3,,,,,,,,,,,
USW00094728,1/10/2009,3,,70,51,89,25,0,,-1.1,-5,,,,,,1,,1,,1,1
USW00094728,1/11/2009,3.1,,76,63,92,0,25,,-0.6,-4.4,,,,,,1,,,,1,1
USW00094728,1/12/2009,2.8,,59,47,75,0,25,,0.6,-6.1,,,,,,,,,,,
USW00094728,1/13/2009,2.4,,62,54,70,0,0,,5,-2.2,,,,,,,,,,,
USW00094728,1/14/2009,3.8,,42,33,72,0,0,,2.2,-8.9,,,,,,,,,,,
USW00094728,1/15/2009,3.4,,62,48,84,25,25,,-5.6,-9.4,,,,,,1,,,,1,
USW00094728,1/16/2009,4.1,,48,36,61,0,0,,-8.9,-12.8,,,,,,,,,,,
USW00094728,1/17/2009,2.5,,49,39,55,0,0,,-5.6,-14.4,,,,,,,,,,,
USW00094728,1/18/2009,2.4,,78,55,96,56,0,,1.7,-5.6,,,,,,1,,,,1,
USW00094728,1/19/2009,1,,85,66,92,46,76,,0.6,-3.3,,,,,,1,,,,1,
USW00094728,1/20/2009,2.7,,62,49,81,0,102,,-1.7,-7.2,,,,,,,,,,,
USW00094728,1/21/2009,3.7,,53,35,68,0,76,,-3.3,-8.3,,,,,,,,,,,
USW00094728,1/22/2009,3,,54,46,62,0,76,,2.8,-6.7,,,,,,,,,,,
USW00094728,1/23/2009,2.2,,53,40,69,0,51,,8.3,-0.6,,,,,,,,,,,
USW00094728,1/24/2009,5.1,,42,32,56,0,0,,7.8,-8.3,,,,,,,,,,,
USW00094728,1/25/2009,2.8,,45,34,57,0,0,,-2.8,-10.6,,,,,,,,,,,
USW00094728,1/26/2009,2.2,,45,32,59,0,0,,-1.7,-7.2,,,,,,,,,,,
USW00094728,1/27/2009,1.9,,41,32,55,0,0,,-1.7,-3.9,,,,,,,,1,,,
USW00094728,1/28/2009,4.3,,88,53,97,76,76,,5,-4.4,,,,,,1,,,,1,1
USW00094728,1/29/2009,3.8,,54,47,58,0,25,,2.2,-3.3,,,,,,,,,,,
USW00094728,1/30/2009,3,,61,51,72,0,25,,1.7,-3.3,,,,,,,,1,,1,
USW00094728,1/31/2009,3.8,,47,35,62,0,25,,-2.8,-6.7,,,,,,,,,,,
USW00094728,2/1/2009,3.4,,47,38,59,0,25,,11.1,-3.3,,,,,,,,,,,
USW00094728,2/2/2009,2.3,,54,31,76,0,0,,11.7,1.1,,,,,,,,,,1,
USW00094728,2/3/2009,3.6,,87,69,96,109,0,,1.1,-3.9,,,,,,1,,,,1,
USW00094728,2/4/2009,3.4,,47,34,57,0,76,,-1.1,-8.3,,,,,,,,,,,
USW00094728,2/5/2009,4.3,,47,36,61,0,76,,-5,-11.1,,,,,,,,,,,
USW00094728,2/6/2009,2.4,,46,39,52,0,51,,0,-9.4,,,,,,,,,,,
USW00094728,2/7/2009,1.7,,59,46,73,0,25,,10,-2.2,,,,,,,,,,,
USW00094728,2/8/2009,4.3,,53,41,68,0,0,,14.4,3.3,,,,,,,,,,1,
USW00094728,2/9/2009,2.6,,46,37,61,0,0,,7.2,0.6,,,,,,,,,,,
USW00094728,2/10/2009,1.7,,66,47,74,0,0,,10,1.7,,,,,,,,,,,
USW00094728,2/11/2009,2,,70,52,86,0,0,,18.3,7.2,,,,,,1,,1,,1,
USW00094728,2/12/2009,6,,54,44,92,0,0,,13.9,6.7,,,,,,1,,,,1,
USW00094728,2/13/2009,5.4,,39,21,55,0,0,,6.7,-0.6,,,,,,,,,,,
USW00094728,2/14/2009,2.8,,41,29,53,0,0,,5,-2.2,,,,,,,,,,,
USW00094728,2/15/2009,3.2,,40,28,58,0,0,,5.6,-2.2,,,,,,,,,,,
USW00094728,2/16/2009,2.4,,48,40,58,0,0,,4.4,-2.2,,,,,,,,,,,
USW00094728,2/17/2009,2.2,,47,29,65,0,0,,4.4,-4.4,,,,,,,,,,,
USW00094728,2/18/2009,2.5,,75,48,97,0,0,,6.7,0,,,,,,1,,,,1,
USW00094728,2/19/2009,4.1,,64,37,96,0,0,,10,-2.8,,,,,,1,,,,,
USW00094728,2/20/2009,6.1,,41,35,50,0,0,,0.6,-5,,,,,,,,,,,
USW00094728,2/21/2009,3.4,,44,29,61,0,0,,5.6,-3.3,,,,,,,,,,,
USW00094728,2/22/2009,4,,70,45,93,0,0,,6.7,-0.6,,,,,,1,,,,1,
USW00094728,2/23/2009,6,,44,35,53,0,0,,1.1,-4.4,,,,,,,,,,,
USW00094728,2/24/2009,4.3,,43,31,57,0,0,,2.8,-5.6,,,,,,,,,,,
USW00094728,2/25/2009,1.9,,45,23,64,0,0,,5.6,-4.4,,,,,,,,,,,
USW00094728,2/26/2009,2.1,,57,41,73,0,0,,10,1.7,,,,,,,,,,,
USW00094728,2/27/2009,3.6,,73,50,89,0,0,,16.1,6.1,,,,,,,,,,1,
USW00094728,2/28/2009,4.2,,52,31,77,0,0,,12.2,-0.6,,,,,,,,,,,
USW00094728,3/1/2009,4.4,,67,41,92,46,0,,2.2,-2.2,,,,,,1,,1,,1,
USW00094728,3/2/2009,4.9,,74,54,92,165,178,,-2.2,-8.9,,,,,,1,,1,,,
USW00094728,3/3/2009,5.2,,44,32,56,0,203,,-3.3,-11.1,,,,,,,,,,,
USW00094728,3/4/2009,2.6,,45,34,59,0,203,,1.1,-7.8,,,,,,,,,,,
USW00094728,3/5/2009,1.8,,48,29,70,0,51,,6.1,-2.2,,,,,,,,,,,
USW00094728,3/6/2009,3.6,,52,43,68,0,0,,12.8,3.3,,,,,,,,,,1,
USW00094728,3/7/2009,2,,59,46,69,0,0,,21.1,10.6,,,,,,,,1,,,
USW00094728,3/8/2009,3.2,,62,46,74,0,0,,17.8,9.4,,,,,,,,,,1,
USW00094728,3/9/2009,3.5,,86,71,93,0,0,,9.4,3.3,,,,,,1,,,,1,
USW00094728,3/10/2009,2.3,,76,53,97,0,0,,8.3,2.8,,,,,,1,,,,1,
USW00094728,3/11/2009,3.3,,76,31,96,0,0,,14.4,5,,,,,,1,,1,,,
USW00094728,3/12/2009,4.1,,37,28,47,0,0,,6.7,0,,,,,,,,,,,
USW00094728,3/13/2009,2.8,,45,24,64,0,0,,4.4,-2.8,,,,,,,,,,,
USW00094728,3/14/2009,2.2,,51,32,64,0,0,,10.6,0,,,,,,,,,,,
USW00094728,3/15/2009,1,,51,43,60,0,0,,10.6,5.6,,,,,,,,1,,,
USW00094728,3/16/2009,2.8,,61,52,70,0,0,,8.3,4.4,,,,,,,,,,,
USW00094728,3/17/2009,2.6,,60,39,83,0,0,,12.8,2.2,,,,,,,,,,,
USW00094728,3/18/2009,3.6,,53,41,71,0,0,,17.8,5,,,,,,,,,,,
USW00094728,3/19/2009,2,,76,59,89,0,0,,11.7,5.6,,,,,,1,,,,1,
USW00094728,3/20/2009,3.4,,52,29,92,0,0,,7.8,0.6,,,,,,1,,,,1,
USW00094728,3/21/2009,3,,35,17,53,0,0,,9.4,-0.6,,,,,,,,,,,
USW00094728,3/22/2009,3.8,,44,29,67,0,0,,12.2,1.7,,,,,,,,,,,
USW00094728,3/23/2009,3.9,,22,14,34,0,0,,6.7,-1.7,,,,,,,,,,,
